id,name,rank,bayesaverage,usersrated,is_expansion
274637,"Unmatched: Battle of Legends, Volume One",266,7.23505,9783,0
156129,Deception: Murder in Hong Kong,267,7.23455,23582,0
318977,MicroMacro: Crime City,268,7.23374,17339,0
192291,Sushi Go Party!,269,7.23315,36923,0
176189,Zombicide: Black Plague,270,7.23133,16655,0
199478,Flamme Rouge,271,7.22771,18664,0
555,The Princes of Florence,272,7.22547,15739,0
169426,Roll Player,273,7.22498,21273,0
176494,Isle of Skye: From Chieftain to King,274,7.22482,26125,0
3,Samurai,275,7.2248,16595,0
19857,Glory to Rome,276,7.22114,14501,0
300322,Hallertau,277,7.21951,6288,0
224783,Vindication,278,7.2194,7686,0
232405,Western Legends,279,7.2177,11845,0
198994,Hero Realms,280,7.21423,18778,0
194655,Santorini,281,7.21319,39941,0
109276,Kanban: Driver's Edition,282,7.2129,6956,0
286096,Tapestry,283,7.21217,21309,0
228341,Pulsar 2849,284,7.21207,9200,0
9216,Goa: A New Expedition,285,7.21195,11593,0
421,1830: Railways & Robber Barons,286,7.208,5776,0
20551,Shogun,287,7.20408,14293,0
31481,Galaxy Trucker,288,7.20273,34843,0
311193,Anno 1800: The Board Game,289,7.2017,7875,0
156546,Monikers,290,7.19664,6770,0
128621,Viticulture,291,7.19651,14559,0
305096,Endless Winter: Paleoamericans,292,7.19626,8918,0
223321,Detective: A Modern Crime Board Game,293,7.19554,10927,0
27708,1960: The Making of the President,294,7.19529,9394,0
140620,Lewis & Clark: The Expedition,295,7.19126,15950,0
284653,Mind MGMT: The Psychic Espionage “Game.”,296,7.18942,5861,0
239188,Chronicles of Crime,297,7.18876,23489,0
329839,So Clover!,298,7.18735,9447,0
323612,Bitoku,299,7.18635,6736,0
291572,Oath,300,7.18618,8171,0
204583,Kingdomino,301,7.18304,49603,0
127060,Bora Bora,302,7.18277,10413,0
150145,Skull King,303,7.18244,11916,0
297562,Kemet: Blood and Sand,304,7.18126,5250,0
27833,Steam,305,7.18013,10332,0
760,Battle Line,306,7.17983,17798,0
230253,Star Realms: Frontiers,307,7.17963,5566,0
298047,Marvel United,308,7.1794,11746,0
351913,Tiletum,309,7.17867,5665,0
2655,Hive,310,7.17567,38424,0
302723,Forgotten Waters,311,7.1744,6484,0
144344,Rococo,312,7.17362,9242,0
270633,Aeon's End: The New Age,313,7.17244,2970,0
146508,T.I.M.E Stories,314,7.17004,28138,0
206718,Ethnos,315,7.16897,13985,0
246784,Cryptid,316,7.1688,15507,0
295895,Distilled,317,7.16867,6489,0
139976,Cthulhu Wars,318,7.16778,6428,0
244271,Dice Throne: Season Two – Battle Chest,319,7.16544,4876,0
367220,Sea Salt & Paper,320,7.16463,13819,0
356123,Turing Machine,321,7.16433,8255,0
108745,Seasons,322,7.16319,25614,0
92828,Dixit: Odyssey,323,7.16315,21771,0
284189,Foundations of Rome,324,7.16027,4396,0
155068,Arcadia Quest,325,7.15719,10590,0
400314,Apiary,326,7.15635,6287,0
295374,Long Shot: The Dice Game,327,7.1548,8810,0
385761,Faraway,328,7.15198,9312,0
46213,Telestrations,329,7.15128,19201,0
176734,The Manhattan Project: Energy Empire,330,7.14865,6318,0
257499,Arkham Horror (Third Edition),331,7.14803,9997,0
160477,Onitama,332,7.14754,23269,0
24181,Imperial,333,7.14653,8873,0
19777,Indonesia,334,7.14652,4809,0
66589,Navegador,335,7.14503,9423,0
277085,Love Letter,336,7.14436,11972,0
50,Lost Cities,337,7.14325,48169,0
342070,Thunder Road: Vendetta,338,7.14237,4605,0
318184,Imperium: Classics,339,7.13963,7447,0
97207,Dungeon Petz,340,7.13761,15227,0
172,For Sale,341,7.1348,32244,0
331106,The Witcher: Old World,342,7.13372,7042,0
38453,Space Alert,343,7.13222,16281,0
262211,Cloudspire,344,7.12995,3925,0
5,Acquire,345,7.12902,21094,0
22545,Age of Empires III: The Age of Discovery,346,7.12898,10387,0
155873,Power Grid Deluxe: Europe/North America,347,7.1279,4527,0
111341,The Great Zimbabwe,348,7.12766,5034,0
345972,Cat in the Box: Deluxe Edition,349,7.12753,10064,0
319966,The King Is Dead: Second Edition,350,7.12624,7560,0
129622,Love Letter,351,7.12399,69327,0
2653,Survive: Escape from Atlantis!,352,7.1232,26777,0
245655,The King's Dilemma,353,7.12293,6444,0
154203,Imperial Settlers,354,7.12231,24745,0
187617,Nemo's War (Second Edition),355,7.12188,5536,0
143693,Glass Road,356,7.11948,12157,0
332800,Summoner Wars (Second Edition),357,7.11916,4120,0
